,,,
,,,
Weapon_Shield_001,Wooden Shield,木盾,使用較輕的木材製成的盾，\n戰鬥新手也能輕鬆使用。\n可以承受箭等輕度攻擊。
Weapon_Shield_023,Forest Dweller's Shield,森民盾,據說是克洛格族為人類製作的盾。\n以克洛格森林特有的一種極為堅硬的木頭製成，\n所以遠比外觀看起來堅固。
Weapon_Shield_025,Silver Shield,卓拉盾,施加了細膩裝飾的卓拉族之盾。\n據說熟練的使用者能用左右彎曲的部分\n格擋攻擊，保護身體。\n
Weapon_Shield_026,Gerudo Shield,格魯德盾,單手劍和盾是格魯德族的基本裝備，金屬製的盾\n正是配合格魯德族戰鬥風格進化後的產物。\n除了士兵之外，也很受旅人重用。
Weapon_Shield_030,Hylian Shield,海利亞盾,自古海拉魯王族代代相傳的盾，\n曾為勇者所持有的傳說也隨著盾流傳至今。\n擁有其他盾無法企及的壓倒性防禦力及耐用程度。
Weapon_Shield_031,Hunter's Shield,兔紋盾,森林裡的獵人愛用的盾。\n沒有什麼特別之處，容易上手，但不耐用。\n據說兔子的圖案能在打獵時帶來好運。
Weapon_Shield_032,Fisherman's Shield,魚紋盾,海上的漁夫愛用的盾。\n為了方便在船上使用，而使用了較輕的木頭製成。\n據說魚的圖案能在捕魚時帶來豐收。
Weapon_Shield_033,Royal Guard's Shield,近衛盾,希卡族使用古代技術製作的盾。\n能夠承受很強的攻擊，\n但非常不耐用，不太適合實戰。
Weapon_Shield_034,Emblazoned Shield,獸紋盾,哈特爾地區傳統設計的盾。\n其性能和一般的木盾沒有什麼差別，\n但作為工藝品，其外型十分受歡迎。\n
Weapon_Shield_035,Traveler's Shield,旅人盾,許多旅人用來防身的盾。\n將皮革繃在堅硬的木頭上，\n可以承受來自低等怪物或野獸的攻擊。
Weapon_Shield_036,Radiant Shield,太陽盾,只有隊長以上級別的格魯德士兵才會被賜予\n這面豪華的盾。使用了寶石裝飾，價值很高，\n但同時也是面性能優秀的盾。
Weapon_Shield_037,Daybreaker,七寶盾,最高級的盾，受到英傑烏爾波扎愛用。\n使用了精選的金屬，是兼具輕巧與強韌的精品。\n可以輕鬆承受強烈的攻擊。
Weapon_Shield_038,Ancient Shield,古代兵裝‧盾,使用了古代希卡族技術的盾。\n防禦時表面會閃耀藍光。\n可以反射守護者的光束。
Weapon_Shield_040,Pot Lid,鍋蓋,村民生活所需的調理鍋鍋蓋。\n雖然是以堅硬的木頭製成，\n但要拿來當作盾持續使用還是有點不可靠。
Weapon_Shield_041,Shield of the Mind's Eye,護心盾,希卡族所使用的小型木盾。\n據說，為了確保其機動性及避免產生死角，\n而作成了這個特殊的形狀。
Weapon_Shield_042,Kite Shield,風箏盾,利特族戰士愛用的盾。\n為了能在空中作戰時背著飛行，\n而製作成這種形狀。
Weapon_Shield_057,Hero's Shield,勇者盾,據說是在大海上旅行的勇者愛用的盾。\n好像是勇者家族代代相傳之物。
