Weapon_Bow_036,Royal Bow,王族之弓,海拉魯王賜予\n善於弓術的海拉魯騎士之弓。\n華麗的設計十分引人注目，但射擊性能也很優秀。
Weapon_Bow_038,Wooden Bow,木之弓,為了狩獵小型動物而製作的木弓。\n如果拿來和怪物戰鬥的話有點靠不住。
Weapon_Bow_040,Duplex Bow,二連弓,依蓋隊中擅長弓術者使用的弓。\n為了讓自己瞄準的敵人能一擊斃命，\n設計成一次可以射出兩支箭。
Weapon_Bow_071,Bow of Light,光之弓箭,與魔獸加儂決戰前\n從薩爾達那裡得到的弓箭。\n勇者拉弓就能收集光，成為討伐災厄之箭。
Weapon_Bow_072,Twilight Bow,黃昏之光弓,與勇者一起對抗黃昏怪物的公主所使用的弓。\n據說裡面蘊藏著光之精靈的力量。\n射出的箭會像光一樣筆直地飛行。
,,,
AncientArrow,Ancient Arrow,古代兵裝‧箭,將使用了古代技術的小刀轉為箭頭而成的武器，\n對於利用古代能量消滅敵人的守護者，\n也能發揮很強大的威力。
BombArrow_A,Bomb Arrow,炸彈箭,為了對抗怪物而製造出來的強力箭。\n前端裝入了炸藥，一旦中彈就會爆炸，\n對周圍的敵人造成巨大傷害。
BrightArrowTP,Light Arrows,光箭,
BrightArrow,Light Arrows,光箭,
ElectricArrow,Shock Arrow,電箭,封印了電之力的箭。\n一旦擊中目標就會碎裂，在周圍產生電氣。\n對金屬製或是被水弄濕的物體具有極大威力。
FireArrow,Fire Arrow,火箭,封印了火之力的箭。\n一旦擊中目標就會碎裂，讓周圍燃燒起來。\n特別是對寒冷的物體具有極大的威力。
IceArrow,Ice Arrow,冰箭,封印了冰之力的箭。\n一旦擊中目標就會碎裂，將周圍冰凍起來。\n特別是對炙熱的物體具有極大的威力。
NormalArrow,Arrow,木箭,非常普通的箭。\n將堅硬的木頭削尖後製成。
