,,,
,,,
Weapon_Lsword_030,Double Axe,達人斧頭,為了戰鬥而經過特殊設計的雙刃斧。\n有一定的重量，需要熟練的技術才能使用。\n因此，不知何時開始被冠上了達人之名。
Weapon_Lsword_031,Iron Sledgehammer,鐵鎚,鐵製的巨大錘子。\n原本是用來敲碎礦石，\n但是作為使用也具有相當的威力。
Weapon_Lsword_032,Woodcutter's Axe,樵夫斧頭,山上的伐木工愛用的砍樹工具。\n能快速的砍倒樹木。
Weapon_Lsword_033,Great Flameblade,火焰大劍,據說是古代鼓隆族鐵匠使用\n死亡之山的火鍛造而成的魔法劍。\n在劍身閃耀紅光時揮舞，會噴出火焰。\n
Weapon_Lsword_034,Great Frostblade,冰雪大劍,據說是用沉睡在海布拉山脈永久凍土中的\n礦石精煉而成的魔法劍。\n在劍身閃耀藍光時揮舞，會放出冷氣。
Weapon_Lsword_035,Great Thunderblade,雷電大劍,據說是很久以前海拉魯王族的鐵匠\n用海拉魯丘陵的落雷鍛造而成的魔法劍。\n在劍身閃耀金光時揮舞，會發出雷擊。
Weapon_Lsword_036,Cobble Crusher,劈石劍,用又厚又硬的金屬製成的鼓隆雙手劍。\n沒有劍刃，所以完全不鋒利，\n但可以利用其硬度和重量砸碎對手。
Weapon_Lsword_037,Stone Smasher,碎岩劍,這把雙手劍使用鼓隆城附近採掘到的\n稀有金屬製成。重心設計在劍的前端，\n可以用離心力和重量將敵人擊得粉碎。
Weapon_Lsword_038,Boat Oar,船槳,漁船上的道具。\n原本不是武器，但是可以用來防身。\n使用耐水的木材製成，相當堅固。
Weapon_Lsword_041,Eightfold Longblade,戒心長刀,只在希卡族流傳的單刃劍。\n使用傳統技術細心鍛造而成。\n擁有絕佳的鋒利度，又被稱為野太刀。
Weapon_Lsword_045,Farming Hoe,農用鋤頭,用來挖土耕田的農具。\n十分堅固，可以經得起農作。\n根據使用的方法不同，也可以當成武器。
Weapon_Lsword_047,Royal Guard's Claymore,近衛雙手劍,希卡族集合古代技術精華製成的大劍。\n為了保護王國不受災厄侵襲而製作，\n但因為耐用度有點問題，所以並不實用。
Weapon_Lsword_051,Giant Boomerang,大飛旋鏢,必須用雙手才能揮動的巨大飛旋鏢。\n改良原本狩獵用的飛旋鏢後作為戰鬥時所用，\n彎曲的內側有刃，非常難上手。
Weapon_Lsword_054,Boulder Breaker,碎岩巨劍,最硬的大劍，由英傑達爾克爾所攜帶。\n達爾克爾能夠輕鬆揮舞這把大劍，\n人類若想要熟練地使用，必須經過一番苦練。
Weapon_Lsword_055,Edge of Duality,靜心大劍,將希卡族擁有的鍛刀技術\n應用於雙刃劍所製成的珍貴武器。\n是為了不習慣使用單刃劍的海拉魯騎士所製作的。
Weapon_Lsword_056,Korok Leaf,克洛格的團扇,把樹砍倒時常常會得到這片神奇的葉子。\n只要一揮就能刮起大風，\n可以吹飛很輕的物體。
Weapon_Lsword_057,Sword of the Six Sages,六賢者之劍,據說在與黃昏怪物戰鬥的勇者的世界裡，\n6位賢者為了封印魔王而創造了這把大劍。\n劍身閃耀著神秘的白色光輝。
Weapon_Lsword_059,Biggoron's Sword,大鼓隆之劍,據說是鼓隆的名匠為了穿越時空而來的勇者\n打造的傳統鋼劍。\n其鋒利足見工匠技藝之精湛。
Weapon_Lsword_060,Fierce Deity Sword,鬼神大劍,據說是月落世界的勇者擁有，形狀特殊的大劍。\n據說拿著這把劍的人，戰鬥時會如鬼神般勇猛。
Weapon_Lsword_074,Windcleaver,斬風刀,依蓋隊幹部攜帶的古怪的刀。\n熟練者集中精神後，只要拔刀一揮，\n就會因那特殊的形狀而產生真空的刀刃。
